The Blackwell Legacy,ags:blackwell1
The Shivah,ags:shivah
The Shivah: Kosher Edition,ags:shivahkosher
Unavowed,ags:unavowed
Blade Runner,bladerunner:bladerunner
Eye of the Beholder,kyra:eob
Eye of the Beholder II: The Legend of Darkmoon,kyra:eob2
Lands of Lore: The Throne of Chaos,kyra:lol
The Legend of Kyrandia,kyra:kyra1
The Legend of Kyrandia: Book 3 - Malcolm's Revenge,kyra:kyra3
The Legend of Kyrandia: Hand of Fate,kyra:kyra2
Blue Force,tsage:blueforce
Return to Ringworld,tsage:ringworld2
Ringworld: Revenge of the Patriarch,tsage:ringworld
Castle Master,freescape:castlemaster
Dark Side,freescape:darkside
Driller,freescape:driller
Total Eclipse,freescape:totaleclipse
Total Eclipse 2,freescape:totaleclipse2
Chivalry is Not Dead,wintermute:chivalry
"Cubert Badbone, P.I.",sludge:cubert
Life Flashes By,sludge:life
The Game That Takes Place on a Cruise Ship,sludge:tgttpoacs
The Interview,sludge:interview
Clandestiny,groovie:clandestiny
The 11th Hour: The Sequel to The 7th Guest,groovie:11h
The 7th Guest,groovie:t7g
Uncle Henry's Playhouse,groovie:unclehenry
Corruption,glk:corruption
Fish!,glk:fish
Jinxter,glk:jinxter
Myth,glk:myth
The Guild of Thieves,glk:guild
The Pawn,glk:pawn
Wonderland,glk:wonderland
Crime Patrol,alg:cpatrol
Crime Patrol 2: Drug Wars,alg:dwars
Mad Dog II: The Lost Gold,alg:maddog2
Mad Dog McCree,alg:maddog
Space Pirates,alg:spirates
The Last Bounty Hunter,alg:lbhunter
Who Shot Johnny Rock?,alg:johnroc
Crusader: No Remorse,ultima:remorse
Ultima IV: Quest of the Avatar,ultima:ultima4
Ultima VI: The False Prophet,ultima:ultima6
Ultima VIII - Pagan,ultima:ultima8
Daniel in the Lions' Den,mohawk:daniel
Noah's Ark,mohawk:noah
The Story of Creation,mohawk:create
Darby the Dragon,composer:darby
Gregory and the Hot Air Balloon,composer:gregory
Magic Tales: Baba Yaga and the Magic Geese,composer:babayaga
Magic Tales: Imo & the King,composer:imoking
Magic Tales: Liam Finds a Story,composer:liam
Magic Tales: Sleeping Cub's Test of Courage,composer:sleepingcub
Magic Tales: The Little Samurai,composer:littlesamurai
Magic Tales: The Princess and the Crab,composer:princess
Dog-n-cat: In the footsteps of unprecedented beasts,qdengine:dogncat
Dog-n-cat: Island of Dr Rattardy,qdengine:dogncat2
Features of national fishing,qdengine:rybalka
Little Longnose,qdengine:karliknos
Marvellous Mice Adventures: Meeting Sea Rat,qdengine:3mice1
Marvellous Mice Adventures: Sea Rat's Birthday,qdengine:3mice2
Mask show,qdengine:maski
Mom don't worry,qdengine:mng
Pilot Brothers 3: Back Side of the Earth,qdengine:pilots3
Pilot Brothers 3D-2. Kennel Club Secrets,qdengine:pilots3d-2
Pilot Brothers 3D. The Case of Garden Pests,qdengine:pilots3d
The Adventures of the Good Soldier Schweik,qdengine:shveik
Wait for it! Issue 3. Song for a hare,qdengine:nupogodi3
Elvira II: The Jaws of Cerberus,agos:elvira2
Elvira: Mistress of the Dark,agos:elvira1
Personal Nightmare,agos:pn
Simon the Sorcerer,agos:simon1
"Simon the Sorcerer II: The Lion, the Wizard and the Wardrobe",agos:simon2
Simon the Sorcerer's Puzzle Pack: Demon in my Pocket,agos:dimp
Simon the Sorcerer's Puzzle Pack: Jumble,agos:jumble
Simon the Sorcerer's Puzzle Pack: NoPatience,agos:puzzle
Simon the Sorcerer's Puzzle Pack: Swampy Adventures,agos:swampy
The Feeble Files,agos:feeble
Waxworks,agos:waxworks
Escape From Monkey Island,grim:monkey4
Full Throttle,scumm:ft
"Games, Games, Games: Maniac Mansion + Zak McKracken + Indiana Jones and the last Crusade",scumm:indyzak
Grim Fandango,grim:grim
Indiana Jones and the Fate of Atlantis,scumm:atlantis
Indiana Jones and the Last Crusade & Loom,scumm:indyloom
Indiana Jones and the Last Crusade: The Graphic Adventure,scumm:indy3
Loom,scumm:loom
Maniac Mansion,scumm:maniac
Maniac Mansion: Day of the Tentacle,scumm:tentacle
Monkey Island 2: LeChuck's Revenge,scumm:monkey2
"Passport to Adventure (Indiana Jones and the Last Crusade, The Secret of Monkey Island, Loom)",scumm:pass
Sam & Max: Hit the Road,scumm:samnmax
The Curse of Monkey Island,scumm:comi
The Dig,scumm:dig
The Secret of Monkey Island,scumm:monkey
Zak McKracken & Loom,scumm:zakloom
Zak McKracken and the Alien Mindbenders,scumm:zak
Five Lethal Demons,wintermute:5ld
Five Magical Amulets,wintermute:5ma
Helga Deep In Trouble,wintermute:helga
Football Game,ags:footballgame
Sumatra: Fate of Yandi,ags:sumatra
The Excavation of Hob's Barrow,ags:excavationhb
Gobliiins5 - L'Invasion des Morglotons Part1,ags:gobliiins5-1
Gobliiins5 - L'Invasion des Morglotons Part2,ags:gobliiins5-2
Gobliiins5 - L'Invasion des Morglotons Part3,ags:gobliiins5-3
Gobliiins5 - L'Invasion des Morglotons Part4,ags:gobliiins5-4
Halls of the Dead: Faery Tale Adventure II,saga2:fta2
"Harlan Ellison: I Have No Mouth, and I Must Scream",saga:ihnm
Inherit the Earth: Quest for the Orb,saga:ite
Heart of China,dgds:china
Rise of the Dragon,dgds:rise
The Adventures of Willy Beamish,dgds:beamish
